"input_id","run","biosample","bioproject","organism"
"SRR1661238","                                <Run acc=""SRR1661238"" total_spots=""742621"" total_bases=""446538721"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"SRR5827180","                                <Run acc=""SRR5827180"" total_spots=""807088"" total_bases=""236831139"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"SRR5827125","                                <Run acc=""SRR5827125"" total_spots=""856917"" total_bases=""243228531"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"SRR5827026","                                <Run acc=""SRR5827026"" total_spots=""615431"" total_bases=""179537091"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"SRR5827271","                                <Run acc=""SRR5827271"" total_spots=""704126"" total_bases=""208201590"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"SRR5827340","                                <Run acc=""SRR5827340"" total_spots=""706222"" total_bases=""206398136"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"ERR2133911","                                <Run acc=""ERR2133911"" total_spots=""1445678"" total_bases=""412915420"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"ERR191807","                                <Run acc=""ERR191807"" total_spots=""1945360"" total_bases=""389072000"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"ERR2133920","                                <Run acc=""ERR2133920"" total_spots=""1333172"" total_bases=""381906023"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"SRR5827165","                                <Run acc=""SRR5827165"" total_spots=""499210"" total_bases=""148177896"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"ERR2133949","                                <Run acc=""ERR2133949"" total_spots=""846771"" total_bases=""379218312"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"SRR1661286","                                <Run acc=""SRR1661286"" total_spots=""667105"" total_bases=""401120790"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"SRR1661256","                                <Run acc=""SRR1661256"" total_spots=""559442"" total_bases=""336394899"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"ERR388428","                                <Run acc=""ERR388428"" total_spots=""2123150"" total_bases=""424630000"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"ERR2133933","                                <Run acc=""ERR2133933"" total_spots=""739056"" total_bases=""216019914"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"ERR2133899","                                <Run acc=""ERR2133899"" total_spots=""1764751"" total_bases=""493131415"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"SRR5827257","                                <Run acc=""SRR5827257"" total_spots=""758508"" total_bases=""215789162"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"SRR5827173","                                <Run acc=""SRR5827173"" total_spots=""733224"" total_bases=""214200875"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"ERR350006","                                <Run acc=""ERR350006"" total_spots=""1790321"" total_bases=""358064200"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"ERR350033","                                <Run acc=""ERR350033"" total_spots=""1694089"" total_bases=""338817800"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"ERR2133898","                                <Run acc=""ERR2133898"" total_spots=""1958260"" total_bases=""563705816"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"SRR5827255","                                <Run acc=""SRR5827255"" total_spots=""1280675"" total_bases=""369420090"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"ERR2133939","                                <Run acc=""ERR2133939"" total_spots=""1419335"" total_bases=""412878094"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"SRR5827331","                                <Run acc=""SRR5827331"" total_spots=""1062875"" total_bases=""315087837"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"SRR1661241","                                <Run acc=""SRR1661241"" total_spots=""544186"" total_bases=""327218868"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"ERR2133952","                                <Run acc=""ERR2133952"" total_spots=""867362"" total_bases=""407059334"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"SRR1661178","                                <Run acc=""SRR1661178"" total_spots=""398535"" total_bases=""140420370"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"SRR5827210","                                <Run acc=""SRR5827210"" total_spots=""712794"" total_bases=""207666088"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"SRR5827194","                                <Run acc=""SRR5827194"" total_spots=""648126"" total_bases=""190170063"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"ERR2133894","                                <Run acc=""ERR2133894"" total_spots=""911872"" total_bases=""247943185"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"ERR449511","                                <Run acc=""ERR449511"" total_spots=""2095692"" total_bases=""419138400"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"SRR5827120","                                <Run acc=""SRR5827120"" total_spots=""728722"" total_bases=""207659091"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"ERR449506","                                <Run acc=""ERR449506"" total_spots=""1750858"" total_bases=""350171600"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"ERR363632","                                <Run acc=""ERR363632"" total_spots=""2402981"" total_bases=""480596200"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"ERR2133941","                                <Run acc=""ERR2133941"" total_spots=""1403731"" total_bases=""401454192"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"SRR1661288","                                <Run acc=""SRR1661288"" total_spots=""466756"" total_bases=""280664223"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"SRR1661234","                                <Run acc=""SRR1661234"" total_spots=""472110"" total_bases=""283884604"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"SRR5827046","                                <Run acc=""SRR5827046"" total_spots=""909055"" total_bases=""256716815"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"SRR5827379","                                <Run acc=""SRR5827379"" total_spots=""646962"" total_bases=""190480401"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"ERR223630","                                <Run acc=""ERR223630"" total_spots=""2371123"" total_bases=""474224600"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"SRR5827300","                                <Run acc=""SRR5827300"" total_spots=""583407"" total_bases=""171513662"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"ERR2133948","                                <Run acc=""ERR2133948"" total_spots=""926078"" total_bases=""434441341"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"ERR449485","                                <Run acc=""ERR449485"" total_spots=""1990183"" total_bases=""398036600"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"SRR5827212","                                <Run acc=""SRR5827212"" total_spots=""738814"" total_bases=""215547033"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"ERR363646","                                <Run acc=""ERR363646"" total_spots=""1841231"" total_bases=""368246200"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"SRR5827286","                                <Run acc=""SRR5827286"" total_spots=""691757"" total_bases=""204825200"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"SRR1661257","                                <Run acc=""SRR1661257"" total_spots=""337413"" total_bases=""132311086"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"ERR363636","                                <Run acc=""ERR363636"" total_spots=""2194868"" total_bases=""438973600"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"ERR2133905","                                <Run acc=""ERR2133905"" total_spots=""1587721"" total_bases=""443409401"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"ERR2133910","                                <Run acc=""ERR2133910"" total_spots=""1278671"" total_bases=""365871059"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"ERR2133909","                                <Run acc=""ERR2133909"" total_spots=""1214253"" total_bases=""335483413"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"SRR5827313","                                <Run acc=""SRR5827313"" total_spots=""669338"" total_bases=""196627919"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"ERR350060","                                <Run acc=""ERR350060"" total_spots=""1658573"" total_bases=""331714600"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"SRR1661169","                                <Run acc=""SRR1661169"" total_spots=""744552"" total_bases=""247685673"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"ERR223690","                                <Run acc=""ERR223690"" total_spots=""4996771"" total_bases=""999354200"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"ERR2133938","                                <Run acc=""ERR2133938"" total_spots=""1644714"" total_bases=""478417368"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"SRR5827401","                                <Run acc=""SRR5827401"" total_spots=""743052"" total_bases=""219760464"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"SRR1661171","                                <Run acc=""SRR1661171"" total_spots=""595581"" total_bases=""358133900"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"ERR222919","                                <Run acc=""ERR222919"" total_spots=""2251544"" total_bases=""450308800"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"SRR5827238","                                <Run acc=""SRR5827238"" total_spots=""441997"" total_bases=""125974671"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"SRR5827119","                                <Run acc=""SRR5827119"" total_spots=""835676"" total_bases=""241813464"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"SRR5827061","                                <Run acc=""SRR5827061"" total_spots=""658640"" total_bases=""190982823"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"SRR5827285","                                <Run acc=""SRR5827285"" total_spots=""723269"" total_bases=""213768381"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"ERR352811","                                <Run acc=""ERR352811"" total_spots=""1824496"" total_bases=""364899200"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"ERR449486","                                <Run acc=""ERR449486"" total_spots=""1726533"" total_bases=""345306600"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"ERR2133955","                                <Run acc=""ERR2133955"" total_spots=""951663"" total_bases=""473274774"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"SRR5827384","                                <Run acc=""SRR5827384"" total_spots=""1396684"" total_bases=""409945393"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"SRR5827411","                                <Run acc=""SRR5827411"" total_spots=""864312"" total_bases=""252733616"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"ERR352821","                                <Run acc=""ERR352821"" total_spots=""1995966"" total_bases=""399193200"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"ERR222899","                                <Run acc=""ERR222899"" total_spots=""2006789"" total_bases=""401357800"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"SRR5827393","                                <Run acc=""SRR5827393"" total_spots=""675311"" total_bases=""197501884"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"SRR5827162","                                <Run acc=""SRR5827162"" total_spots=""721016"" total_bases=""213044573"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"ERR363644","                                <Run acc=""ERR363644"" total_spots=""1885475"" total_bases=""377095000"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"ERR2133930","                                <Run acc=""ERR2133930"" total_spots=""1273625"" total_bases=""360017319"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"SRR969377","                                <Run acc=""SRR969377"" total_spots=""4140403"" total_bases=""211160553"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"ERR2133924","                                <Run acc=""ERR2133924"" total_spots=""1241772"" total_bases=""358562271"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"ERR363660","                                <Run acc=""ERR363660"" total_spots=""1893614"" total_bases=""378722800"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"ERR502239","                                <Run acc=""ERR502239"" total_spots=""2224602"" total_bases=""444920400"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
"ERR2133914","                                <Run acc=""ERR2133914"" total_spots=""1399035"" total_bases=""398053130"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                                ",NA,NA,NA
